1.1.1.1 Ensure cramfs kernel module is not available,cramfs kernel module is available,Failed
1.1.1.2 Ensure freevxfs kernel module is not available,freevxfs kernel module is not available,Passed
1.1.1.3 Ensure hfs kernel module is not available,hfs kernel module is not available,Passed
1.1.1.4 Ensure hfsplus kernel module is not available,hfsplus kernel module is not available,Passed
1.1.1.5 Ensure jffs2 kernel module is not available,jffs2 kernel module is not available,Passed
1.1.1.6 Ensure squashfs kernel module is not available,squashfs kernel module is available,Failed
1.1.1.7 Ensure udf kernel module is not available,udf kernel module is available,Failed
1.1.1.8 Ensure usb-storage kernel module is not available,usb-storage kernel module is available,Failed
1.1.2.1.1 Ensure /tmp is a separate partition,/tmp is not a separate partition,Failed
1.1.2.3.1 Ensure separate partition exists for /home,/home is not a separate partition,Failed
1.1.2.4.1 Ensure separate partition exists for /var,/var is not a separate partition,Failed
1.1.2.5.1 Ensure separate partition exists for /var/tmp,/var/tmp is not a separate partition,Failed
1.1.2.6.1 Ensure separate partition exists for /var/log,/var/log is not a separate partition,Failed
1.1.2.7.1 Ensure separate partition exists for /var/log/audit,/var/log/audit is not a separate partition,Failed
1.2.1 Ensure GPG keys are configured,GPG keys are not configured for repository /etc/yum.repos.d/myrepo.repo,Failed
1.2.2 Ensure gpgcheck is globally activated,gpgcheck is globally activated in /etc/dnf/dnf.conf,Passed
1.2.3 Ensure repo_gpgcheck is globally activated,repo_gpgcheck not globally activated in /etc/dnf/dnf.conf,Failed
1.2.4 Ensure package manager repositories are configured,Package manager repositories are configured,Passed
1.2.5 Ensure updates & patches and additional security software,Updates or patches is available. Run 'dnf update' to install them.,Failed
1.3.1 Ensure bootloader password is set,Bootloader password file not found,Failed
1.3.2 Ensure permissions on bootloader config are configured,Permissions on bootloader config are not correctly set,Failed
1.4.1 Ensure address space layout randomization (ASLR) is enabled,Address space layout randomization (ASLR) is enabled,Passed
1.4.2 Ensure ptrace_scope is restricted,ptrace_scope is restricted,Passed
1.4.3 Ensure core dump backtraces are disabled,Core dump backtraces are not properly configured,Failed
1.4.4 Ensure core dump storage is disabled,Core dump storage is not properly configured,Failed
1.5.1.1 Ensure SELinux is installed,SELinux is installed,Passed
1.5.1.2 Ensure SELinux is not disabled in bootloader configuration,SELinux is enabled in bootloader configuration,Passed
1.5.1.3 Ensure SELinux policy is configured,SELinux policy is configured,Passed
1.5.1.4 Ensure the SELinux mode is not disabled,SELinux is enabled,Passed
1.5.1.5 Ensure the SELinux mode is enforcing,SELinux is in enforcing mode,Passed
1.5.1.6 Ensure no unconfined services exist,No unconfined services exist,Passed
1.5.1.7 Ensure the MCS Translation Service (mcstrans) is not installed,MCS Translation Service is not installed,Passed
1.5.1.8 Ensure SETroubleshoot is not installed,SETroubleshoot is not installed,Passed
1.6.1 Ensure system wide crypto policy is not set to legacy,System-wide crypto policy is not set to LEGACY,Passed
1.6.2 Ensure system wide crypto policy disables sha1 hash and signature support,SHA1 hash and signature support are disabled,Passed
1.6.3 Ensure system wide crypto policy disables cbc for ssh,Cipher Block Chaining (CBC) is disabled for SSH,Passed
1.6.4 Ensure system wide crypto policy disables macs less than 128 bits,Weak MACs less than 128 bits are disabled,Passed
1.7.1 Ensure message of the day is configured properly,Message of the day is not configured,Failed
1.7.2 Ensure local login warning banner is configured properly,Local login warning banner is not configured properly,Failed
1.7.3 Ensure remote login warning banner is configured properly,Remote login warning banner is not configured properly,Failed
1.7.4 Ensure access to /etc/motd is configured,Access to /etc/motd is configured properly,Passed
1.7.5 Ensure access to /etc/issue is configured,Access to /etc/issue is configured properly,Passed
1.7.6 Ensure access to /etc/issue.net is configured,Access to /etc/issue.net is configured properly,Passed
1.8.1 Ensure GNOME Display Manager is removed,GNOME Display Manager is not removed,Failed
1.8.2 Ensure GDM login banner is configured,GDM login banner is not configured,Failed
1.8.3 Ensure GDM disable-user-list option is enabled,GDM disable-user-list option check failed,Failed
1.8.4 Ensure GDM screen locks when the user is idle,GDM screen doesn't locks when the user is idle,Failed
1.8.5 Ensure GDM screen locks cannot be overridden,GDM screen locks can be overridden,Failed
1.8.6 Ensure GDM automatic mounting of removable media is disabled,GDM automatic mounting of removable media is enabled,Failed
1.8.7 Ensure GDM disabling automatic mounting of removable media is not overridden,GDM disabling automatic mounting of removable media is overridden,Failed
1.8.8 Ensure GDM autorun-never is enabled,GDM autorun-never is disabled,Failed
1.8.9 Ensure GDM autorun-never is not overridden,GDM autorun-never is overridden,Failed
1.8.10 Ensure XDMCP is not enabled,XDMCP is not enabled,Passed
2.1.1 Ensure time synchronization is in use (Automated),chrony is installed. chrony version: 3.5,Failed
2.1.2 Ensure chrony is configured (Automated),chrony is configured. /etc/chrony.conf:pool 2.rhel.pool.ntp.org iburst ,Passed
2.1.3 Ensure chrony is not run as the root user (Automated),chrony is not configured to run as the root user,Passed
2.2.1 Ensure autofs services are not in use (Automated),autofs services are installed.,Failed
